Region: 00  | Segments: 48    | Area: 510176.066
 S           | A               | B               | E           | Color
 340.5,-157.5| 379.501,-157.667| 418.501,-157.500| 457.5,-157.0|black
 457.5,-157.0| 482.544,-155.958| 507.544,-154.291| 532.5,-152.0|red
 532.5,-152.0| 568.061,-148.642| 596.894,-133.142| 619.0,-105.5|orange
 619.0,-105.5| 624.914, -97.340| 630.581, -89.007| 636.0, -80.5|yellow
 636.0, -80.5| 650.195, -52.776| 663.862, -24.776| 677.0,   3.5|green
 677.0,   3.5| 680.635,   9.965| 684.468,  16.298| 688.5,  22.5|blue
 688.5,  22.5| 679.520,  23.050| 670.520,  23.217| 661.5,  23.0|pink
 661.5,  23.0| 657.898,  24.273| 656.732,  26.773| 658.0,  30.5|red
 658.0,  30.5| 672.102,  33.119| 686.268,  35.619| 700.5,  38.0|orange
 700.5,  38.0| 728.038,  46.861| 749.871,  63.361| 766.0,  87.5|yellow
 766.0,  87.5| 789.866, 135.133| 782.699, 177.300| 744.5, 214.0|green
 744.5, 214.0| 730.830, 225.334| 716.330, 235.501| 701.0, 244.5|blue
 701.0, 244.5| 688.972, 269.246| 679.306, 294.912| 672.0, 321.5|pink
 672.0, 321.5| 666.675, 334.479| 659.342, 346.145| 650.0, 356.5|red
 650.0, 356.5| 621.402, 386.776| 588.569, 411.276| 551.5, 430.0|orange
 551.5, 430.0| 500.621, 454.606| 449.621, 478.939| 398.5, 503.0|yellow
 398.5, 503.0| 376.654, 516.426| 354.320, 529.093| 331.5, 541.0|green
 331.5, 541.0| 325.459, 543.760| 319.126, 545.427| 312.5, 546.0|blue
 312.5, 546.0| 296.472, 546.154| 280.472, 546.821| 264.5, 548.0|pink
 264.5, 548.0| 241.197, 554.323| 218.197, 561.656| 195.5, 570.0|red
 195.5, 570.0| 135.167, 586.367|  73.834, 592.033|  11.5, 587.0|orange
  11.5, 587.0| -13.595, 584.726| -37.595, 578.393| -60.5, 568.0|yellow
 -60.5, 568.0| -97.771, 546.637|-112.605, 514.471|-105.0, 471.5|green
-105.0, 471.5| -98.870, 428.997| -94.203, 386.330| -91.0, 343.5|blue
 -91.0, 343.5| -88.797, 311.138| -89.131, 278.805| -92.0, 246.5|pink
 -92.0, 246.5| -94.925, 218.658|-105.925, 194.658|-125.0, 174.5|red
-125.0, 174.5|-140.286, 152.079|-145.619, 127.412|-141.0, 100.5|orange
-141.0, 100.5|-137.606,  87.709|-131.606,  76.376|-123.0,  66.5|yellow
-123.0,  66.5|-110.299,  53.467| -97.966,  40.134| -86.0,  26.5|green
 -86.0,  26.5| -79.390,  17.280| -74.390,   7.280| -71.0,  -3.5|blue
 -71.0,  -3.5| -70.000, -14.500| -69.000, -25.500| -68.0, -36.5|pink
 -68.0, -36.5| -67.116, -44.165| -64.116, -50.831| -59.0, -56.5|red
 -59.0, -56.5| -36.310, -80.438|  -9.477, -98.271|  21.5,-110.0|orange
  21.5,-110.0|  33.967,-114.617|  46.634,-118.617|  59.5,-122.0|yellow
  59.5,-122.0|  72.091,-123.895|  84.757,-124.729|  97.5,-124.5|green
  97.5,-124.5| 124.530,-123.573| 151.530,-122.073| 178.5,-120.0|blue
 178.5,-120.0| 202.245,-119.115| 225.912,-120.115| 249.5,-123.0|pink
 249.5,-123.0| 273.785,-126.992| 298.118,-130.659| 322.5,-134.0|red
 322.5,-134.0| 382.334,-142.500| 438.001,-131.167| 489.5,-100.0|orange
 489.5,-100.0| 517.412, -81.459| 545.578, -63.293| 574.0, -45.5|yellow
 574.0, -45.5| 578.721, -48.382| 579.721, -52.382| 577.0, -57.5|green
 577.0, -57.5| 547.187, -84.297| 514.354,-106.797| 478.5,-125.0|blue
 478.5,-125.0| 441.540,-142.059| 402.706,-150.559| 362.0,-150.5|pink
 362.0,-150.5| 341.225,-148.646| 320.392,-146.813| 299.5,-145.0|red
 299.5,-145.0| 272.206,-141.338| 244.873,-138.005| 217.5,-135.0|orange
 217.5,-135.0| 195.491,-133.113| 173.491,-133.113| 151.5,-135.0|yellow
 151.5,-135.0| 181.218,-138.590| 210.885,-142.590| 240.5,-147.0|green
 240.5,-147.0| 274.051,-149.864| 307.384,-153.364| 340.5,-157.5|blue


Region: 01  | Segments: 18    | Area: 6437.819
