Region: 00  | Segments: 48    | Area: 510176.066
S           | A               | B               | E           | Color
540.5,042.5 | 579.501,042.333 | 618.501,00042.5 | 657.5,043.0 | black
657.5,043.0 | 682.544,044.042 | 707.544,00045.7 | 732.5,048.0 | red
732.5,048.0 | 768.061,051.358 | 796.894,00066.9 | 819.0,094.5 | orange
819.0,094.5 | 824.914,102.660 | 830.581,00111.0 | 836.0,119.5 | yellow
836.0,119.5 | 850.195,147.224 | 863.862,00175.2 | 877.0,203.5 | green
877.0,203.5 | 880.635,209.965 | 884.468,00216.3 | 888.5,222.5 | blue
888.5,222.5 | 879.520,223.050 | 870.520,00223.2 | 861.5,223.0 | pink
861.5,223.0 | 857.898,224.273 | 856.732,00226.8 | 858.0,230.5 | red
858.0,230.5 | 872.102,233.119 | 886.268,00235.6 | 900.5,238.0 | orange
900.5,238.0 | 928.038,246.861 | 949.871,00263.4 | 966.0,287.5 | yellow
966.0,287.5 | 989.866,335.133 | 982.699,00377.3 | 944.5,414.0 | green
944.5,414.0 | 930.830,425.334 | 916.330,00435.5 | 901.0,444.5 | blue
901.0,444.5 | 888.972,469.246 | 879.306,00494.9 | 872.0,521.5 | pink
872.0,521.5 | 866.675,534.479 | 859.342,00546.1 | 850.0,556.5 | red
850.0,556.5 | 821.402,586.776 | 788.569,00611.3 | 751.5,630.0 | orange
751.5,630.0 | 700.621,654.606 | 649.621,00678.9 | 598.5,703.0 | yellow
598.5,703.0 | 576.654,716.426 | 554.320,00729.1 | 531.5,741.0 | green
531.5,741.0 | 525.459,743.760 | 519.126,00745.4 | 512.5,746.0 | blue
512.5,746.0 | 496.472,746.154 | 480.472,00746.8 | 464.5,748.0 | pink
464.5,748.0 | 441.197,754.323 | 418.197,00761.7 | 395.5,770.0 | red
395.5,770.0 | 335.167,786.367 | 273.834,00792.0 | 211.5,787.0 | orange
211.5,787.0 | 186.405,784.726 | 162.405,00778.4 | 139.5,768.0 | yellow
139.5,768.0 | 102.229,746.637 | 087.395,00714.5 | 095.0,671.5 | green
095.0,671.5 | 101.130,628.997 | 105.797,00586.3 | 109.0,543.5 | blue
109.0,543.5 | 111.203,511.138 | 110.869,00478.8 | 108.0,446.5 | pink
108.0,446.5 | 105.075,418.658 | 094.075,00394.7 | 075.0,374.5 | red
075.0,374.5 | 059.714,352.079 | 054.381,00327.4 | 059.0,300.5 | orange
059.0,300.5 | 062.394,287.709 | 068.394,00276.4 | 077.0,266.5 | yellow
077.0,266.5 | 089.701,253.467 | 102.034,00240.1 | 114.0,226.5 | green
114.0,226.5 | 120.610,217.280 | 125.610,00207.3 | 129.0,196.5 | blue
129.0,196.5 | 130.000,185.500 | 131.000,00174.5 | 132.0,163.5 | pink
132.0,163.5 | 132.884,155.835 | 135.884,00149.2 | 141.0,143.5 | red
141.0,143.5 | 163.690,119.562 | 190.523,00101.7 | 221.5,090.0 | orange
221.5,090.0 | 233.967,085.383 | 246.634,00081.4 | 259.5,078.0 | yellow
259.5,078.0 | 272.091,076.105 | 284.757,00075.3 | 297.5,075.5 | green
297.5,075.5 | 324.530,076.427 | 351.530,00077.9 | 378.5,080.0 | blue
378.5,080.0 | 402.245,080.885 | 425.912,00079.9 | 449.5,077.0 | pink
449.5,077.0 | 473.785,073.008 | 498.118,00069.3 | 522.5,066.0 | red
522.5,066.0 | 582.334,057.500 | 638.001,00068.8 | 689.5,100.0 | orange
689.5,100.0 | 717.412,118.541 | 745.578,00136.7 | 774.0,154.5 | yellow
774.0,154.5 | 778.721,151.618 | 779.721,00147.6 | 777.0,142.5 | green
777.0,142.5 | 747.187,115.703 | 714.354,00093.2 | 678.5,075.0 | blue
678.5,075.0 | 641.540,057.941 | 602.706,00049.4 | 562.0,049.5 | pink
562.0,049.5 | 541.225,051.354 | 520.392,00053.2 | 499.5,055.0 | red
499.5,055.0 | 472.206,058.662 | 444.873,00062.0 | 417.5,065.0 | orange
417.5,065.0 | 395.491,066.887 | 373.491,00066.9 | 351.5,065.0 | yellow
351.5,065.0 | 381.218,061.410 | 410.885,00057.4 | 440.5,053.0 | green
440.5,053.0 | 474.051,050.136 | 507.384,00046.6 | 540.5,042.5 | blue


Region: 01  | Segments: 18    | Area: 6437.819
S           | A               | B               | E           | Color
530.5,082.5 | 608.642,078.163 | 678.308,00100.0 | 739.5,148.0 | black
739.5,148.0 | 747.539,154.372 | 754.539,00161.7 | 760.5,170.0 | red
760.5,170.0 | 759.663,171.011 | 759.330,00172.2 | 759.5,173.5 | orange
